146,6,56029,OASyS DNA,OASyS DNA
147,6,56030,OASyS DNA,OASyS DNA
148,6,56031,OASyS DNA,OASyS DNA
149,6,56032,OASyS DNA,OASyS DNA
150,6,56033,OASyS DNA,OASyS DNA
151,6,56034,OASyS DNA,OASyS DNA
152,6,56035,OASyS DNA,OASyS DNA
153,6,56036,OASyS DNA,OASyS DNA
154,6,56037,OASyS DNA,OASyS DNA
155,6,56038,OASyS DNA,OASyS DNA
156,6,56039,OASyS DNA,OASyS DNA
157,6,56040,OASyS DNA,OASyS DNA
158,6,56041,OASyS DNA,OASyS DNA
159,6,56042,OASyS DNA,OASyS DNA
160,6,56043,OASyS DNA,OASyS DNA
161,6,56044,OASyS DNA,OASyS DNA
162,6,56045,OASyS DNA,OASyS DNA
163,6,56046,OASyS DNA,OASyS DNA
164,6,56047,OASyS DNA,OASyS DNA
165,6,56048,OASyS DNA,OASyS DNA
166,6,56049,OASyS DNA,OASyS DNA
167,6,56050,OASyS DNA,OASyS DNA
168,6,56051,OASyS DNA,OASyS DNA
169,6,56052,OASyS DNA,OASyS DNA
170,6,56053,OASyS DNA,OASyS DNA
171,6,56054,OASyS DNA,OASyS DNA
172,6,56055,OASyS DNA,OASyS DNA
173,6,56056,OASyS DNA,OASyS DNA
174,6,56057,OASyS DNA,OASyS DNA
175,6,56058,OASyS DNA,OASyS DNA
176,6,56059,OASyS DNA,OASyS DNA
177,6,56060,OASyS DNA,OASyS DNA
178,6,56061,OASyS DNA,OASyS DNA
179,6,56062,OASyS DNA,OASyS DNA
180,6,56063,OASyS DNA,OASyS DNA
181,6,56064,OASyS DNA,OASyS DNA
182,6,56065,OASyS DNA,OASyS DNA
183,6,56066,OASyS DNA,OASyS DNA
184,6,56067,OASyS DNA,OASyS DNA
185,6,56068,OASyS DNA,OASyS DNA
186,6,56069,OASyS DNA,OASyS DNA
187,6,56070,OASyS DNA,OASyS DNA
188,6,56071,OASyS DNA,OASyS DNA
189,6,56072,OASyS DNA,OASyS DNA
190,6,56073,OASyS DNA,OASyS DNA
191,6,56074,OASyS DNA,OASyS DNA
192,6,56075,OASyS DNA,OASyS DNA
193,6,56076,OASyS DNA,OASyS DNA
194,6,56077,OASyS DNA,OASyS DNA
195,6,56078,OASyS DNA,OASyS DNA
196,6,56079,OASyS DNA,OASyS DNA
197,6,56080,OASyS DNA,OASyS DNA
198,6,56081,OASyS DNA,OASyS DNA
199,6,56082,OASyS DNA,OASyS DNA
200,6,56083,OASyS DNA,OASyS DNA
201,6,56084,OASyS DNA,OASyS DNA
202,6,56085,OASyS DNA,OASyS DNA
203,6,56086,OASyS DNA,OASyS DNA
204,6,56087,OASyS DNA,OASyS DNA
205,6,56088,OASyS DNA,OASyS DNA
206,6,56089,OASyS DNA,OASyS DNA
207,6,56090,OASyS DNA,OASyS DNA
208,6,56091,OASyS DNA,OASyS DNA
209,6,56092,OASyS DNA,OASyS DNA
210,6,56093,OASyS DNA,OASyS DNA
211,6,56094,OASyS DNA,OASyS DNA
212,6,56095,OASyS DNA,OASyS DNA
213,6,56096,OASyS DNA,OASyS DNA
214,6,56097,OASyS DNA,OASyS DNA
215,6,56098,OASyS DNA,OASyS DNA
216,6,56099,OASyS DNA,OASyS DNA
217,6,9600,FINS communication protocol,FINS communication protocol
218,17,9600,FINS communication protocol,FINS communication protocol
219,6,2123,GTP (GPRS TUnneling Protocol),Control Plane
220,17,2123,GTP (GPRS TUnneling Protocol),Control Plane
221,6,2152,GTP (GPRS TUnneling Protocol),User Plane
222,17,2123,GTP (GPRS TUnneling Protocol),User Plane
223,17,47808,BACNet,BACNet
224,6,5450,Cim/IO,Cim/IO
225,17,5450,Cim/IO,Cim/IO
226,6,5450,Cim/IO,Cim/IO
227,6,4545,Atlas Copco Open Protocol,Atlas Copco Open Protocol
228,6,6881,Bittorrent,Bittorrent traffic
229,6,6882,Bittorrent,Bittorrent traffic
230,6,6883,Bittorrent,Bittorrent traffic
231,6,6884,Bittorrent,Bittorrent traffic
232,6,6885,Bittorrent,Bittorrent traffic
233,6,6886,Bittorrent,Bittorrent traffic
234,6,6887,Bittorrent,Bittorrent traffic
235,6,6888,Bittorrent,Bittorrent traffic
236,6,6889,Bittorrent,Bittorrent traffic
237,6,6881,Bittorrent,Bittorrent traffic
238,6,6882,Bittorrent,Bittorrent traffic
239,6,6883,Bittorrent,Bittorrent traffic
240,6,6884,Bittorrent,Bittorrent traffic
241,6,6885,Bittorrent,Bittorrent traffic
242,6,6886,Bittorrent,Bittorrent traffic
243,6,6887,Bittorrent,Bittorrent traffic
244,6,6888,Bittorrent,Bittorrent traffic
245,6,6889,Bittorrent,Bittorrent traffic
246,17,6881,Bittorrent,Bittorrent traffic
247,17,6882,Bittorrent,Bittorrent traffic
248,17,6883,Bittorrent,Bittorrent traffic
249,17,6884,Bittorrent,Bittorrent traffic
250,17,6885,Bittorrent,Bittorrent traffic
251,17,6886,Bittorrent,Bittorrent traffic
252,17,6887,Bittorrent,Bittorrent traffic
253,17,6888,Bittorrent,Bittorrent traffic
254,17,6889,Bittorrent,Bittorrent traffic
255,21,6881,Bittorrent,Bittorrent traffic
256,21,6882,Bittorrent,Bittorrent traffic
257,21,6883,Bittorrent,Bittorrent traffic
258,21,6884,Bittorrent,Bittorrent traffic
259,21,6885,Bittorrent,Bittorrent traffic
260,21,6886,Bittorrent,Bittorrent traffic
261,21,6887,Bittorrent,Bittorrent traffic
262,21,6888,Bittorrent,Bittorrent traffic
263,21,6889,Bittorrent,Bittorrent traffic
264,6,6969,Bittorrent,Bittorrent tracker
265,17,1234,BSAP,BSAP
266,17,1234,BSAP/IP,BSAP/IP
267,17,61450,CC-LINK IE Field,CC-LINK IE Field cyclic transmission
268,17,61451,CC-LINK IE Field,CC-LINK IE Field automatic detection
269,6,4224,CDP,Cisco Discovery Protocol
270,17,1985,HSRP,Hot Standby Router Protocol
271,6,17600,Dropbox,Dropbox web
272,6,17603,Dropbox,Dropbox web
273,6,17500,Dropbox,Dropbox LAN Sync
274,6,4661,eMule,eMule
